item,description,quantity,notes,location,source_row,item_carried_forward
Signs,"Instructure, Curved Wall",6,"Labelled ""Jason""",JP Display,4,
Cooler,"Red, Igloo",1,,JP Display,7,
Bottles/Vases,Brown Glass,7,,JP Display,8,
Key,"Large, Metal, 24""",1,Inside Cooler,JP Display,9,
Stanchions,Red & Gold,20,,JP Display,10,
Base,Gold,,Need to be filled,JP Display,11,
Uprights,Gold,,,JP Display,12,
Ropes,"Red Velvet, 5'",18,,JP Display,13,
Ticket Booth,,1,,JP Display,14,
Light Bulbs,Small for Top of Booth,,,JP Display,15,
Ring Toss Game,,,,JP Display,16,
Bottles,Clear Glass,36,,JP Display,17,
Rings,Red Plastic,,,JP Display,18,
Buckets,,2,,JP Display,19,
Table Skirt,Red & White Strip,,,JP Display,20,
Horse Shoe Game,,2,,JP Display,21,
Glass Bowl,"12""",2,,JP Display,22,
"Stands,","Tall, Rectangular, Black Frame, Set of 5",,Various S/izes,JP Display,25,
"Stands,","Tall, Rectangular, Gold Frame, Set of 4",,Various Sizes,JP Display,26,yes
Award Platforms,"20"" H, 36"" Square",,,JP Display,28,
Award Platforms,"12"" H, 36"" Square",,,JP Display,29,yes
Award Platforms,"6"" H, 36"" Square",,,JP Display,30,yes
